"Class","numLasersShot","distanceMoved","initialDist","finalDist","diffDist","powerUp","Die","Kill","minDistOpp","maxDistOpp","avgDistOpp","initialEnergy","finalEnergy","changeEnergy","avgEnergy","minEnergy","maxEnergy"
"Forager",3,1360.65302910488,4800,3953.08512430481,-846.914875695187,0,0,0,3953.08512430481,4800,4178.51926053378,3,1,-2,2.81666666666667,1,4
"Forager",0,2634.20641969816,3913.94455760426,1783.15675138222,-2130.78780622204,1,0,0,1783.15675138222,3913.94455760426,2986.11690471623,2,4,2,3.83333333333333,2,4
"Forager",2,1494.06770637408,1778.39478181871,2422.78228489479,644.387503076081,0,0,0,1768.28956904688,2422.78228489479,2169.126212593,5,5,0,4.73333333333333,4,5
"Forager",0,1171.69047558312,2422.78228489479,3381.75827048593,958.975985591146,0,0,0,2422.78228489479,3381.75827048593,2720.28730722129,5,5,0,5,5,5
"Forager",2,2141.68542494924,3381.75827048593,4031.65784758578,649.899577099848,0,0,0,3377.46191688374,4160.20203836304,3856.19059126589,5,4,-1,4.61666666666667,4,5
"Forager",3,1320,4005.00349562894,3826.85066340457,-178.152832224366,0,0,0,3826.85066340457,4539.86629759071,4151.24810490466,5,2,-3,4.25,2,5
"Forager",4,1199.8967253865,3788.02851098035,973.558421462215,-2814.47008951813,0,0,0,973.558421462215,3788.02851098035,2554.6150367238,3,0,-3,1.05,0,3
"Forager",0,2348.31851342406,899.230782391261,634.703080187894,-264.527702203367,0,0,0,599.103496901829,899.230782391261,656.730421313987,1,1,0,1,1,1
"Forager",1,399.597979746447,634.703080187894,1010.39843626166,375.695356073762,0,0,0,634.703080187894,1326.94611797164,1120.81130997856,2,2,0,1.88333333333333,1,2
"Forager",1,1759.24933904808,996.52646728524,202.38824076512,-794.13822652012,0,1,1,200.202397588041,996.52646728524,607.695811864112,3,2,-1,2.71666666666667,2,3
"Forager",0,3605.90703212188,202.38824076512,2986.02227051306,2783.63402974795,0,0,0,202.38824076512,3369.74553935457,946.267533612171,3,3,0,3,3,3
"Forager",1,1977.60930650349,2946.53847760385,3217.76459673482,271.226119130973,0,0,0,2543.10223939188,3217.76459673482,2864.57104400314,4,3,-1,3.81666666666667,3,4
"Forager",2,0,3217.76459673482,3217.76459673482,0,0,0,0,3217.76459673482,3217.76459673482,3217.76459673482,4,2,-2,2.23333333333333,2,4
"Forager",4,577.580735803744,3217.76459673482,2821.55719417488,-396.207402559944,1,0,0,2821.55719417488,3217.76459673482,2963.65517911988,3,1,-2,1.33333333333333,0,3
"Forager",1,0,2821.55719417488,2851.62146856837,30.0642743934891,0,0,0,2821.55719417488,2851.62146856837,2822.05826541477,2,1,-1,1.73333333333333,1,2
"Forager",0,1111.95959492893,2881.92730650861,3140.2778539486,258.350547439981,0,0,0,2881.92730650861,4121.19218188135,3526.8704710944,2,2,0,2,2,2
"Forager",0,2236.68782263055,3113.9018931238,1946.34143972737,-1167.56045339644,0,0,0,1939.60949678022,3113.9018931238,2333.36408384092,3,3,0,3,3,3
"Forager",0,1986.40399569707,1951.8619315925,2388.4375646016,436.575633009097,0,0,0,1893.54191926136,2388.4375646016,2236.87038295663,4,5,1,4.8,4,5
"Forager",0,0,2393.00522356304,3560.76312045606,1167.75789689302,0,0,0,2393.00522356304,3560.76312045606,2857.23514160246,5,5,0,5,5,5
"Forager",0,120,3590.6648409452,3753.15240830958,162.487567364383,0,0,0,3590.6648409452,3846.25441176218,3823.28403734425,5,5,0,5,5,5
"Forager",0,2111.52813742386,3722.46061094003,2037.31048198354,-1685.15012895649,0,0,0,2037.31048198354,3722.46061094003,2861.87837092808,5,5,0,5,5,5
"Forager",0,2435.50133104873,2012.71806272016,1878.47943826916,-134.238624451006,0,0,0,1444.60167520324,2348.85589170558,1841.70341603882,5,6,1,5.38333333333333,5,6
"Forager",0,2552.29757344802,1911.03244347133,4050.34566426126,2139.31322078993,0,0,0,1911.03244347133,4050.34566426126,2829.02808653198,6,7,1,6.3,6,7
